en_curid,name,numlangs,birthcity,birthstate,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,country,birth,industry_,gender_,occupation_,domain_,lat_,lon_,birthyear_,hpi_,x,y,continent
864,Andy Warhol,100,Pittsburgh,PA,US,USA,40.439722,-79.976389,North America,1928,Male,Artist,Fine Arts,Arts,34354584,7.526343155,113050.3572,17306096,17048488,343545.84,27.91983828,United States,"Pittsburgh, United States (1928)",9,1,5,0,0.7957335756530803,0.2695901028738786,0.986012715712988,0.8157776671139283,0.046245664000000006,0.62288,North America
868,Alp Arslan,39,Other,,UNK,UNK,-75.0,0.0,Unknown,1029,Male,Politician,Government,Institutions,1142695,8.817610992,4561.959976,264784,877911,29299.87179,25.74359669,Unknown,"Other, Unknown (1029)",10,1,66,4,0.0,0.496012067142585,0.8227066303360581,0.7173690873681897,0.345304,0.09452429400000001,Unknown
872,Akira Kurosawa,102,Tokyo,,JP,JPN,35.6,139.73333300000002,Asia,1910,Male,Film Director,Film And Theatre,Arts,9833860,9.490106699,91964.93387,3746139,6087721,96410.39216,26.23577062,Japan,"Tokyo, Japan (1910)",8,1,36,0,0.7623730544606707,0.8916125203172495,0.9827429609445958,0.7396249516351614,0.644515,0.8554025,Asia
890,Anna Kournikova,56,Moscow,,RU,RUS,55.75,37.616667,Europe,1981,Female,Tennis Player,Individual Sports,Sports,8817761,4.604698116000001,52365.86755,5859294,2958467,157460.0179,18.37364131,Russia,"Moscow, Russia (1981)",12,0,85,7,0.9012683261368236,0.6025089937715408,0.9956403269754768,0.3841033116069314,0.7240246,0.45449734,Europe
915,Andrey Markov,36,Ryazan,,RU,RUS,54.6,39.7,Europe,1856,Male,Mathematician,Math,Science & Technology,480789,4.747322194,1474.179927,319858,160931,13355.25,22.28780154,Russia,"Ryazan, Russia (1856)",16,1,52,6,0.8933413007061748,0.6084071389114247,0.9729336966394186,0.5610997217948064,0.853974,0.5566079,Europe
924,A. A. Milne,33,Hampstead,,GB,GBR,51.5541,-0.1744,Europe,1882,Male,Writer,Language,Humanities,2228190,4.204541679,8720.890426,1556213,671977,67520.90909,23.13392116,United Kingdom,"Hampstead, United Kingdom (1882)",14,1,87,3,0.8723457122199021,0.4955183215376357,0.9776566757493188,0.5993608369585892,0.27508432,0.5835507,Europe
81898,Melvil Dewey,29,Adams Center,NY,US,USA,43.862222,-76.00694399999998,North America,1851,Male,Inventor,Invention,Science & Technology,680309,4.968268639,2249.570471,442686,237623,23458.93103,22.4538746,United States,"Adams Center, United States (1851)",13,1,44,6,0.8193250926412508,0.2808280387846459,0.9720254314259764,0.5686094642993731,0.32370818,0.9450356,North America
954,Albert Speer,52,Mannheim,,DE,DEU,49.488889,8.469167,Europe,1905,Male,Architect,Design,Arts,7724852,6.818185968,22472.3941,3782972,3941880,148554.8462,25.99869344,Germany,"Mannheim, Germany (1905)",5,1,4,0,0.8581100773358534,0.5199892115452874,0.9818346957311536,0.728904437570395,0.7638634,0.8825491,Europe
974,Ada Lovelace,61,London,,GB,GBR,51.507222,-0.1275,Europe,1815,Female,Mathematician,Math,Science & Technology,13222419,8.682734334,967214.7879,6187390,7035029,216760.9672,24.19188341,United Kingdom,"London, United Kingdom (1815)",16,0,52,6,0.8720225790910865,0.4956511006022694,0.9654859218891916,0.6472013721847842,0.79421175,0.44461653,Europe
983,Albert Camus,95,Dréan,,DZ,DZA,36.68333300000001,7.75,Africa,1913,Male,Writer,Language,Humanities,18091886,10.40740845,225236.2088,5388929,12702957,190440.9053,26.68507129,Algeria,"Dréan, Algeria (1913)",14,1,87,3,0.7698405398875066,0.5179531705735297,0.9832879200726612,0.7599421080651645,0.27426487,0.49488172,Africa
984,Agatha Christie,91,Torquay,,GB,GBR,50.4792,-3.5305,Europe,1890,Female,Writer,Language,Humanities,19500789,12.70760109,222207.9739,6663457,12837332,214294.3846,27.09011545,United Kingdom,"Torquay, United Kingdom (1890)",14,0,87,3,0.8649363560152025,0.4860168328634946,0.9791099000908264,0.7782580067700992,0.7683846,0.48957404,Europe
1006,Aaron,59,Other,,EG,EGY,27.0,30.0,Africa,-1400,Male,Religious Figure,Religion,Institutions,2819250,6.451532299999998,9444.91564,1587626,1231624,47783.89831,27.60209372,Egypt,"Other, Egypt (1400 BC)",24,1,74,4,0.7030926903706005,0.5809453707462422,0.3814713896457765,0.8014094136005236,0.7609345000000001,0.16910577,Africa
1017,Allen Ginsberg,52,Newark,NJ,US,USA,40.72422,-74.172574,North America,1926,Male,Writer,Language,Humanities,7134493,4.542438474,21004.54719,4788007,2346486,137201.7885,24.90590029,United States,"Newark, United States (1926)",14,1,87,3,0.7976946390278359,0.2860213422556939,0.9856494096276112,0.6794888660908647,0.32607946,0.38266718,North America
1020,Anatoly Karpov,55,Zlatoust,,RU,RUS,55.166667,59.666667,Europe,1951,Male,Chessmaster,Individual Sports,Sports,1749016,10.07661917,8687.220016,769221,979795,31800.290910000003,22.97518017,Russia,"Zlatoust, Russia (1951)",12,1,17,7,0.8972473735059221,0.6649349719202288,0.9901907356948229,0.5921826470714395,0.47495360000000003,0.5703853,Europe
1028,Aristophanes,68,Athens,,GR,GRC,37.96666667,23.71666667,Europe,-446,Male,Writer,Language,Humanities,4704294,11.46674107,14756.36958,1617766,3086528,69180.79412,28.72133392,Greece,"Athens, Greece (446 BC)",14,1,87,3,0.7786866430510699,0.5631565621675799,0.5547683923705722,0.8520209077390657,0.23838099999999998,0.44284555,Europe
1029,Albert Schweitzer,62,Kaysersberg,,FR,FRA,48.1394,7.2614,Europe,1875,Male,Physician,Medicine,Science & Technology,5818033,8.772934798,18818.22213,1870665,3947368,93839.24194,26.49885332,France,"Kaysersberg, France (1875)",18,1,61,6,0.8488079611433482,0.5165698901688381,0.9763851044504994,0.7515214225884044,0.5845693000000001,0.22700119,Europe
1051,Alexis Carrel,43,Sainte-Foy-lès-Lyon,,FR,FRA,45.73,4.8,Europe,1873,Male,Physician,Medicine,Science & Technology,857702,11.54356514,3588.4154229999995,285436,572266,19946.55814,24.22920885,France,"Sainte-Foy-lès-Lyon, France (1873)",18,1,61,6,0.8321998089062999,0.5096013957191701,0.9760217983651224,0.6488892103162045,0.5825591,0.22421327,Europe
1057,Anatole France,70,Paris,,FR,FRA,48.8567,2.3508,Europe,1844,Male,Writer,Language,Humanities,2192222,13.12367909,6695.338606,609961,1582261,31317.45714,26.31231176,France,"Paris, France (1844)",14,1,87,3,0.8537523570923955,0.5026674408129675,0.9707538601271569,0.7430861045301944,0.27476788,0.5502158,Europe
1058,André Gide,66,Paris,,FR,FRA,48.8567,2.3508,Europe,1869,Male,Writer,Language,Humanities,3180011,11.51503978,8646.948642,807373,2372638,48181.98485,26.52855152,France,"Paris, France (1869)",14,1,87,3,0.8537523570923955,0.5026674408129675,0.9752951861943688,0.7528643606594505,0.278588,0.5510411,Europe
1130,Avicenna,102,Bukhara,,UZ,UZB,39.766667,64.43333299999999,Asia,980,Male,Philosopher,Philosophy,Humanities,10026549,12.30747461,56379.94959,2408563,7617986,98299.5,28.89172648,Uzbekistan,"Bukhara, Uzbekistan (980)",23,1,59,3,0.7910941633911452,0.6784299282720698,0.8138056312443233,0.8597259759198648,0.16423553,0.68561625,Asia
1141,Augustin-Jean Fresnel,41,Broglie,,FR,FRA,49.0094,0.5303,Europe,1788,Male,Physicist,Natural Sciences,Science & Technology,657036,11.95308594,1619.632254,187765,469271,16025.26829,24.88926142,France,"Broglie, France (1788)",21,1,62,6,0.8548049282082739,0.4975134048392856,0.9605812897366032,0.6787364645317739,0.5339600999999999,0.49589103,Europe
1168,Anaximander,70,Miletus,,TR,TUR,37.530278,27.278333,Asia,-610,Male,Philosopher,Philosophy,Humanities,4275744,8.929602653,23454.07891,749220,3526524,61082.05714,28.12119429,Turkey,"Miletus, Turkey (610 BC)",23,1,59,3,0.7756785873252117,0.5732400317589403,0.5249772933696639,0.8248828873516174,0.13809076,0.7011458,Asia
1177,Aleister Crowley,47,Royal Leamington Spa,,GB,GBR,52.292,-1.537,Europe,1875,Male,Religious Figure,Religion,Institutions,15560425,5.820401277,34638.08843,8645906,6914519,331072.8723,26.74577909,United Kingdom,"Royal Leamington Spa, United Kingdom (1875)",24,1,74,4,0.8774321053201419,0.4916606508879576,0.9763851044504994,0.7626872850735169,0.61891216,0.08974266,Europe
1208,Alan Turing,108,Maida Vale,,GB,GBR,51.5274,-0.1899,Europe,1912,Male,Computer Scientist,Computer Science,Science & Technology,17997811,9.422714896,928280.0478,8685854,9311957,166646.3981,24.98917589,United Kingdom,"Maida Vale, United Kingdom (1912)",3,1,23,6,0.8721616673685992,0.4954744393307738,0.9831062670299728,0.6832545479715579,0.45264825,0.4792472,Europe
1235,Alexander Mackenzie,26,Logierait,,GB,GBR,56.647558,-3.679711,Europe,1822,Male,Politician,Government,Institutions,448234,1.536693073,1885.252053,416369,31865,17239.76923,19.04029498,United Kingdom,"Logierait, United Kingdom (1822)",10,1,66,4,0.90745525230333,0.485594400091361,0.9667574931880109,0.4142490643342212,0.5078045,0.6413892,Europe
1239,Ashoka,89,Patna,,IN,IND,20.0,77.0,Asia,-304,Male,Politician,Government,Institutions,5148177,6.087364259,44474.35924,3393087,1755090,57844.68539,26.73672242,India,"Patna, India (304 BC)",10,1,66,4,0.65484123122752,0.7140075463919718,0.5805631244323342,0.7622777468880411,0.47420740000000006,0.8709848,Asia
1247,Alfonso Cuarón,29,Mexico City,,MX,MEX,19.433333,-99.133333,North America,1961,Male,Film Director,Film And Theatre,Arts,2597077,4.321254305,41903.96011,1495260,1101817,89554.37931,18.87219943,Mexico,"Mexico City, Mexico (1961)",8,1,36,0,0.6509351584277726,0.21535468484486991,0.9920072661217074,0.4066478658215695,0.16323635,0.4911109,North America
1256,Antoninus Pius,63,Lanuvium,,IT,ITA,41.674696,12.69758,Europe,86,Male,Politician,Government,Institutions,2326411,13.8016845,8572.582366,819088,1507323,36927.15873,27.77668848,Italy,"Lanuvium, Italy (86)",10,1,66,4,0.8042463324393327,0.5319603143816425,0.6514078110808356,0.8093045032089565,0.50332016,0.8501593000000001,Europe
1273,Augustus,117,Rome,,IT,ITA,41.9,12.5,Europe,-63,Male,Politician,Government,Institutions,20307663,10.51722923,62055.84857,8544515,11763148,173569.7692,30.41951894,Italy,"Rome, Italy (63 BC)",10,1,66,4,0.8057993676894429,0.5314009436441088,0.6243415077202543,0.9288120033286362,0.5030452999999999,0.8581247,Europe
1363,André-Marie Ampère,76,Lyon,,FR,FRA,45.76,4.84,Europe,1775,Male,Physicist,Natural Sciences,Science & Technology,3458682,11.8935896,14485.57921,728754,2729928,45508.97368,26.77275072,France,"Lyon, France (1775)",21,1,62,6,0.8324066008740559,0.5097146401239749,0.9582198001816529,0.7639069289834229,0.53963417,0.486192,Europe
1370,Ambrose,55,Trier,,DE,DEU,49.75,6.633333,Europe,337,Male,Religious Figure,Religion,Institutions,2483720,9.875295437,13544.76083,891069,1592651,45158.54545,26.86852989,Germany,"Trier, Germany (337)",24,1,74,4,0.8599099325856119,0.5147917633290235,0.6970027247956403,0.7682380161808355,0.70485955,0.18820265,Europe
1389,Ahab,33,Samaria,,IL,ISR,32.14306,35.26062,Asia,-900,Male,Politician,Government,Institutions,1036200,5.822131594,3850.785544,617518,418682,31400.0,25.27555813,Israel,"Samaria, Israel (900 BC)",10,1,66,4,0.7385441402935163,0.5958387652663579,0.472297910990009,0.6962046127218613,0.48291862,0.8820787,Asia
1408,Alcuin,39,York,,GB,GBR,53.958333,-1.080278,Europe,735,Male,Philosopher,Philosophy,Humanities,925046,10.01901004,3052.117818,351591,573455,23719.12821,25.82465838,United Kingdom,"York, United Kingdom (735)",23,1,59,3,0.8889182479870371,0.4929536811642399,0.7693006357856493,0.7210346573220703,0.17039382,0.6590855,Europe
1425,Antonio Vivaldi,103,Venice,,IT,ITA,45.4375,12.335833,Europe,1678,Male,Composer,Music,Arts,15870117,13.57765229,182505.7612,4300266,11569851,154078.8058,27.8898214,Italy,"Venice, Italy (1678)",20,1,22,0,0.8301835872206784,0.5309361687890187,0.9405994550408718,0.8144203184892298,0.48505634,0.13335428,Europe
1436,Abraham,105,Other,,UNK,,33.7,43.5,Unknown,-1800,Male,Religious Figure,Religion,Institutions,17824676,10.73163628,76364.02514,7111066,10713610,169758.819,30.60465403,Unknown,"Other, Unknown (1800 BC)",24,1,74,4,0.7492762298361203,0.6191653573678879,0.3088101725703905,0.9371837215017088,0.76232195,0.16913018,Unknown
1438,Absalom,35,Jerusalem,,PS,PSE,31.533333,35.095,Asia,-3500,Male,Religious Figure,Religion,Institutions,1544050,6.579169688,7839.201351999999,847696,696354,44115.71429,26.11354202,Palestine,"Jerusalem, Palestine (3500 BC)",24,1,74,4,0.7343412520893831,0.5953698768082633,0.0,0.734097834156302,0.7686386,0.16887757,Asia
1494,Alfred Russel Wallace,53,Llanbadoc,,GB,GBR,51.695833,-2.904167,Europe,1823,Male,Biologist,Natural Sciences,Science & Technology,3184505,6.47600417,14836.597130000002,1526737,1657768,60085.0,25.03659519,United Kingdom,"Llanbadoc, United Kingdom (1823)",21,1,11,6,0.8733226870854344,0.4877900505583609,0.9669391462306992,0.6853988255127004,0.14213783,0.57829976,Europe
1514,"Albert I, Duke of Prussia",28,Ansbach,,DE,DEU,49.3,10.583333,Europe,1490,Male,Nobleman,Government,Institutions,108313,14.23594727,583.5857348999998,180,108133,3868.321429,23.04134854,Germany,"Ansbach, Germany (1490)",10,1,57,4,0.856808053069271,0.525974648303505,0.9064486830154403,0.5951747483830363,0.2637921,0.13613549,Europe
1527,Ahmed I,48,Manisa,,TR,TUR,38.630556,27.422222,Asia,1590,Male,Politician,Government,Institutions,1194784,15.43826315,13375.04568,233024,961760,24891.33333,24.96249107,Turkey,"Manisa, Turkey (1590)",10,1,66,4,0.7832628757485017,0.5736473973630145,0.9246139872842868,0.6820478734695001,0.38717347,0.7448041,Asia
1528,Ahmed II,42,Istanbul,,TR,TUR,41.01300000000001,28.984,Asia,1643,Male,Politician,Government,Institutions,618226,17.62495235,5702.141588,115192,503034,14719.66667,24.41043518,Turkey,"Istanbul, Turkey (1643)",10,1,66,4,0.7996852185094556,0.5780689628641983,0.9342415985467756,0.6570841762748474,0.38554525,0.7423365,Asia
1529,Ahmed III,45,Constanta,,BG,BGR,43.566667,27.833333000000003,Europe,1673,Male,Politician,Government,Institutions,917948,14.28283699,8512.533112000001,201641,716307,20398.84444,24.55621575,Bulgaria,"Constanta, Bulgaria (1673)",10,1,66,4,0.817287812640246,0.5748112978756079,0.9396911898274296,0.6636763023118395,0.3846617,0.74106324,Europe
1550,Agesilaus II,30,Sparta,,GR,GRC,37.081944,22.423611,Europe,-444,Male,Politician,Government,Institutions,336422,10.41450521,1020.193445,121793,214629,11214.06667,25.1741122,Greece,"Sparta, Greece (444 BC)",10,1,66,4,0.7725881916561469,0.5594957791743619,0.5551316984559491,0.6916172774103044,0.49145702,0.8743098,Europe
1557,Agrippina the Younger,34,Cologne,,DE,DEU,50.936389,6.952778,Europe,15,Female,Politician,Government,Institutions,1768082,8.318909152,5989.429498,745969,1022113,52002.41176,26.37543304,Germany,"Cologne, Germany (15)",10,0,66,4,0.8680877897800833,0.5156961473013459,0.6385104450499546,0.7459404179230991,0.8572311,0.4275067,Europe
1560,Ahmed Shah Abdali,37,Herat,,AF,AFG,34.341944,62.203056,Asia,1722,Male,Politician,Government,Institutions,689302,4.986977278,4146.8508280000015,458569,230733,18629.78378,22.49586619,Afghanistan,"Herat, Afghanistan (1722)",10,1,66,4,0.7537011919344268,0.6721157684866947,0.9485921889191644,0.5705083034503908,0.32661462,0.7748662,Asia
1570,Alaric I,52,Peuce Island,,RO,ROU,46.0,25.0,Europe,370,Male,Politician,Government,Institutions,1811757,9.91868912,6385.239695,758635,1053122,34841.48077,26.82538974,Romania,"Peuce Island, Romania (370)",10,1,66,4,0.8340609366161045,0.5667898201456326,0.7029972752043596,0.7662872397086709,0.49344075,0.82985055,Europe
1571,Alaric II,36,Tulcea,,RO,ROU,46.0,25.0,Europe,450,Male,Politician,Government,Institutions,382896,13.532822,1905.937623,100227,282669,10636.0,25.07184306,Romania,"Tulcea, Romania (450)",10,1,66,4,0.8340609366161045,0.5667898201456326,0.7175295186194368,0.6869927169453893,0.4927076,0.8274298000000001,Europe
1573,Albertus Magnus,57,Lauingen,,DE,DEU,48.566667,10.433333,Europe,1193,Male,Religious Figure,Religion,Institutions,2278838,11.0076645,9596.248431,689575,1589263,39979.61404,26.75354666,Germany,"Lauingen, Germany (1193)",24,1,74,4,0.8517531405995891,0.5255499817854868,0.8524977293369663,0.7630385307878202,0.64431584,0.13912901,Europe
1575,Alboin,31,Pannonia,,HU,HUN,44.9,19.02,Europe,530,Male,Politician,Government,Institutions,453150,8.528973751,3969.585553,151681,301469,14617.74194,23.92192554,Hungary,"Pannonia, Hungary (530)",10,1,66,4,0.8264785644650491,0.5498597816273036,0.7320617620345141,0.6349940094085382,0.49344403,0.825189,Europe
1576,Afonso de Albuquerque,35,Vila Franca de Xira,,PT,PRT,38.95,-8.983333,Europe,1453,Male,Nobleman,Government,Institutions,858672,8.567428844,4210.306735,393153,465519,24533.48571,24.36005082,Portugal,"Vila Franca de Xira, Portugal (1453)",10,1,57,4,0.7854648241934307,0.4705792621738599,0.8997275204359673,0.654805820171471,0.26841417,0.13919637,Europe
1577,Alcaeus,37,Mytilene,,GR,GRC,39.1,26.55,Europe,-620,Male,Writer,Language,Humanities,512525,13.19392704,2200.196403,97283,415242,13852.02703,25.98267397,Greece,"Mytilene, Greece (620 BC)",14,1,87,3,0.7864987840322109,0.5711780408318216,0.5231607629427792,0.7281800449761979,0.23822504,0.44097146,Europe
1586,Alexander Balas,27,Izmir,,TR,TUR,38.418611,27.139167,Asia,-200,Male,Politician,Government,Institutions,161803,10.5118967,513.8710656000002,63125,98678,5992.703704,24.17935199,Turkey,"Izmir, Turkey (200 BC)",10,1,66,4,0.7818019249616331,0.5728460374879635,0.5994550408719346,0.6466347075046937,0.49326158,0.8685178,Asia
1591,Alexander II of Russia,62,Moscow,,RU,RUS,60.0,100.0,Europe,1818,Male,Politician,Government,Institutions,6759130,6.088541566,29783.83982,2343104,4416026,109018.2258,26.18597625,Russia,"Moscow, Russia (1818)",10,1,66,4,0.9305638549022652,0.7791230791547756,0.9660308810172571,0.7373732745908708,0.36833045,0.8101971,Europe
1592,Alexander III of Russia,62,Saint Petersburg,,RU,RUS,59.95,30.3,Europe,1845,Male,Politician,Government,Institutions,5159144,6.426846599,21659.38225,1834666,3324478,83212.0,25.89702144,Russia,"Saint Petersburg, Russia (1845)",10,1,66,4,0.930219201622672,0.5817947037822787,0.9709355131698456,0.7243068794840666,0.39501590000000003,0.60242313,Europe
1593,Alexander I of Scotland,27,Dunfermline,,GB,GBR,56.07192,-3.4393,Europe,1078,Male,Politician,Government,Institutions,252063,4.34415717,666.2129902,168404,83659,9335.666667,22.69274299,United Kingdom,"Dunfermline, United Kingdom (1078)",10,1,66,4,0.903487341812158,0.4862750301064497,0.8316076294277929,0.5794109760038024,0.5335909000000001,0.7548571,Europe
1594,Alexander II of Scotland,32,Haddington,,GB,GBR,55.955621,-2.7788150000000003,Europe,1198,Male,Politician,Government,Institutions,324783,3.46689866,912.279394,241449,83334,10149.46875,22.4732365,United Kingdom,"Haddington, United Kingdom (1198)",10,1,66,4,0.9026856851768892,0.4881449358741384,0.8534059945504087,0.569484999942536,0.5308833000000001,0.7274038,Europe
1595,Alexander I of Serbia,28,Belgrade,,RS,SRB,44.816667,20.466667,Europe,1876,Male,Politician,Government,Institutions,510669,11.16303401,4440.087188,149042,361627,18238.17857,22.56057841,Serbia,"Belgrade, Serbia (1876)",10,1,66,4,0.8259041446300818,0.5539554552114501,0.9765667574931879,0.5734345583715617,0.39309028,0.6798113,Europe
1596,Alexander III of Scotland,30,Roxburgh,,GB,GBR,55.5965,-2.4562,Europe,1241,Male,Politician,Government,Institutions,504658,2.9827328110000004,1347.142854,392969,111689,16821.93333,22.56296824,United Kingdom,"Roxburgh, United Kingdom (1241)",10,1,66,4,0.9002102405684718,0.4890582944655415,0.8612170753860127,0.5735426253146869,0.5305035,0.72543156,Europe
1600,Alexander Severus,50,Akkar,,LB,LBN,34.530556,36.045833,Asia,208,Male,Politician,Government,Institutions,1433285,12.830905,7258.893645,498534,934751,28665.7,26.62963749,Lebanon,"Akkar, Lebanon (208)",10,1,66,4,0.7550013068218403,0.5980617897371092,0.6735694822888283,0.7574354187559555,0.48036328,0.836616,Asia
1613,Alexios I Komnenos,52,Istanbul,,TR,TUR,41.0,28.966667,Asia,1048,Male,Politician,Government,Institutions,1017450,11.38799549,4614.458427000001,429531,587919,19566.34615,25.74453467,Turkey,"Istanbul, Turkey (1048)",10,1,66,4,0.7995956086567613,0.5780198912324862,0.8261580381471391,0.7174115023647849,0.46230242,0.80689263,Asia
1615,Alexios II Komnenos,31,Istanbul,,TR,TUR,41.01224000000001,28.976018,Asia,1169,Male,Politician,Government,Institutions,287151,11.1242788,1003.103143,103899,183252,9262.935484,24.20252808,Turkey,"Istanbul, Turkey (1169)",10,1,66,4,0.7996799797796058,0.5780463649432195,0.8481380563124432,0.6476827189531651,0.4578311,0.8024131,Asia
1616,Alexios III Angelos,34,Istanbul,,TR,TUR,39.0,35.0,Asia,1153,Male,Politician,Government,Institutions,306715,12.67566637,1317.951381,99380,207335,9021.029412,24.3554065,Turkey,"Istanbul, Turkey (1153)",10,1,66,4,0.785809477473024,0.5951009213468517,0.8452316076294277,0.6545958062937909,0.45722765,0.80563265,Asia
1617,Alexios V,31,Other,,UNK,UNK,-75.0,0.0,Unknown,1150,Male,Politician,Government,Institutions,274989,12.95379861,1658.195852,85022,189967,8870.612903,23.86092511,Unknown,"Other, Unknown (1150)",10,1,66,4,0.0,0.496012067142585,0.8446866485013623,0.6322355998147857,0.34143895,0.09702903,Unknown
1623,Andrew Jackson,93,Waxhaw,NC,US,USA,38.0,-97.0,North America,1767,Male,Politician,Government,Institutions,13329459,2.8438246360000003,59632.63565,10971710,2357749,143327.5161,25.35508721,United States,"Waxhaw, United States (1767)",10,1,66,4,0.7789164118811553,0.22139438549076,0.9567665758401454,0.6998008788015317,0.44122893,0.23841125,North America
1624,Andrew Johnson,85,Raleigh,NC,US,USA,35.780556,-78.638889,North America,1808,Male,Politician,Government,Institutions,7294751,3.657924525,32324.81951,5643638,1651113,85820.6,25.03865625,United States,"Raleigh, United States (1808)",10,1,66,4,0.7636176388116761,0.2733767126595416,0.9642143505903724,0.6854920256373109,0.44034538,0.25554264,North America
